2014-10-09 11:03:30,779 [INFO] [test.com.cheyooh.tools.http.HttpUtilsTest] Respone(99), status: 200, use time: 0, result: Request delay:2468, url: GET /R-46 HTTP/1.1
2014-10-09 11:03:30,791 [INFO] [test.com.cheyooh.tools.http.HttpUtilsTest] Fail: 0, Ok: 100
2014-10-09 11:04:45,261 [INFO] [test.com.cheyooh.tools.http.HttpUtilsTest] Listening on port: 9526
2014-10-09 11:04:46,169 [INFO] [test.com.cheyooh.tools.http.HttpUtilsTest] Respone(0), status: 200, use time: 0, result: Request delay:500, url: GET /R-38 HTTP/1.1
2014-10-09 11:04:46,174 [INFO] [test.com.cheyooh.tools.http.HttpUtilsTest] Respone(1), status: 200, use time: 0, result: Request delay:532, url: GET /R-49 HTTP/1.1
2014-10-09 11:04:46,176 [INFO] [test.com.cheyooh.tools.http.HttpUtilsTest] Respone(2), status: 200, use time: 0, result: Request delay:532, url: GET /R-87 HTTP/1.1
2014-10-09 11:04:46,271 [INFO] [test.com.cheyooh.tools.http.HttpUtilsTest] Respone(3), status: 200, use time: 0, result: Request delay:628, url: GET /R-31 HTTP/1.1
2014-10-09 11:04:46,282 [INFO] [test.com.cheyooh.tools.http.HttpUtilsTest] Respone(4), status: 200, use time: 0, result: Request delay:644, url: GET /R-47 HTTP/1.1
2014-10-09 11:04:46,298 [INFO] [test.com.cheyooh.tools.http.HttpUtilsTest] Respone(5), status: 200, use time: 0, result: Request delay:660, url: GET /R-68 HTTP/1.1
2014-10-09 11:04:46,314 [INFO] [test.com.cheyooh.tools.http.HttpUtilsTest] Respone(6), status: 200, use time: 0, result: Request delay:676, url: GET /R-27 HTTP/1.1
2014-10-09 11:04:46,347 [INFO] [test.com.cheyooh.tools.http.HttpUtilsTest] Respone(7), status: 200, use time: 0, result: Request delay:708, url: GET /R-74 HTTP/1.1
2014-10-09 11:04:46,364 [INFO] [test.com.cheyooh.tools.http.HttpUtilsTest] Respone(8), status: 200, use time: 0, result: Request delay:724, url: GET /R-88 HTTP/1.1
2014-10-09 11:04:46,386 [INFO] [test.com.cheyooh.tools.http.HttpUtilsTest] Respone(9), status: 200, use time: 0, result: Request delay:740, url: GET /R-29 HTTP/1.1
2014-10-09 11:04:46,428 [INFO] [test.com.cheyooh.tools.http.HttpUtilsTest] Respone(10), status: 200, use time: 0, result: Request delay:788, url: GET /R-8 HTTP/1.1
2014-10-09 11:04:46,476 [INFO] [test.com.cheyooh.tools.http.HttpUtilsTest] Respone(11), status: 200, use time: 0, result: Request delay:836, url: GET /R-55 HTTP/1.1
2014-10-09 11:04:46,491 [INFO] [test.com.cheyooh.tools.http.HttpUtilsTest] Respone(12), status: 200, use time: 0, result: Request delay:836, url: GET /R-37 HTTP/1.1
2014-10-09 11:04:46,506 [INFO] [test.com.cheyooh.tools.http.HttpUtilsTest] Respone(13), status: 200, use time: 0, result: Request delay:868, url: GET /R-70 HTTP/1.1
2014-10-09 11:04:46,523 [INFO] [test.com.cheyooh.tools.http.HttpUtilsTest] Respone(14), status: 200, use time: 0, result: Request delay:884, url: GET /R-90 HTTP/1.1
2014-10-09 11:04:46,548 [INFO] [test.com.cheyooh.tools.http.HttpUtilsTest] Respone(15), status: 200, use time: 0, result: Request delay:900, url: GET /R-41 HTTP/1.1
2014-10-09 11:04:46,558 [INFO] [test.com.cheyooh.tools.http.HttpUtilsTest] Respone(16), status: 200, use time: 0, result: Request delay:916, url: GET /R-39 HTTP/1.1
2014-10-09 11:04:46,587 [INFO] [test.com.cheyooh.tools.http.HttpUtilsTest] Respone(17), status: 200, use time: 0, result: Request delay:948, url: GET /R-4 HTTP/1.1
2014-10-09 11:04:46,595 [INFO] [test.com.cheyooh.tools.http.HttpUtilsTest] Respone(18), status: 200, use time: 0, result: Request delay:948, url: GET /R-71 HTTP/1.1
2014-10-09 11:04:46,603 [INFO] [test.com.cheyooh.tools.http.HttpUtilsTest] Respone(19), status: 200, use time: 0, result: Request delay:964, url: GET /R-92 HTTP/1.1
2014-10-09 11:04:46,626 [INFO] [test.com.cheyooh.tools.http.HttpUtilsTest] Respone(20), status: 200, use time: 0, result: Request delay:964, url: GET /R-25 HTTP/1.1
2014-10-09 11:04:46,626 [INFO] [test.com.cheyooh.tools.http.HttpUtilsTest] Respone(21), status: 200, use time: 0, result: Request delay:964, url: GET /R-36 HTTP/1.1
2014-10-09 11:04:46,635 [INFO] [test.com.cheyooh.tools.http.HttpUtilsTest] Respone(22), status: 200, use time: 0, result: Request delay:996, url: GET /R-2 HTTP/1.1
2014-10-09 11:04:46,652 [INFO] [test.com.cheyooh.tools.http.HttpUtilsTest] Respone(23), status: 200, use time: 0, result: Request delay:1012, url: GET /R-83 HTTP/1.1
2014-10-09 11:04:46,656 [INFO] [test.com.cheyooh.tools.http.HttpUtilsTest] Respone(24), status: 200, use time: 0, result: Request delay:1012, url: GET /R-93 HTTP/1.1
2014-10-09 11:04:46,668 [INFO] [test.com.cheyooh.tools.http.HttpUtilsTest] Respone(25), status: 200, use time: 0, result: Request delay:1028, url: GET /R-14 HTTP/1.1
2014-10-09 11:04:46,684 [INFO] [test.com.cheyooh.tools.http.HttpUtilsTest] Respone(26), status: 200, use time: 0, result: Request delay:1044, url: GET /R-59 HTTP/1.1
2014-10-09 11:04:46,703 [INFO] [test.com.cheyooh.tools.http.HttpUtilsTest] Respone(27), status: 200, use time: 0, result: Request delay:1060, url: GET /R-9 HTTP/1.1
2014-10-09 11:04:46,766 [INFO] [test.com.cheyooh.tools.http.HttpUtilsTest] Respone(28), status: 200, use time: 0, result: Request delay:1124, url: GET /R-44 HTTP/1.1
2014-10-09 11:04:46,861 [INFO] [test.com.cheyooh.tools.http.HttpUtilsTest] Respone(29), status: 200, use time: 0, result: Request delay:1220, url: GET /R-97 HTTP/1.1
2014-10-09 11:04:46,883 [INFO] [test.com.cheyooh.tools.http.HttpUtilsTest] Respone(30), status: 200, use time: 0, result: Request delay:1236, url: GET /R-7 HTTP/1.1
2014-10-09 11:04:46,884 [INFO] [test.com.cheyooh.tools.http.HttpUtilsTest] Respone(31), status: 200, use time: 0, result: Request delay:1236, url: GET /R-76 HTTP/1.1
2014-10-09 11:04:46,899 [INFO] [test.com.cheyooh.tools.http.HttpUtilsTest] Respone(32), status: 200, use time: 0, result: Request delay:1252, url: GET /R-51 HTTP/1.1
2014-10-09 11:04:46,906 [INFO] [test.com.cheyooh.tools.http.HttpUtilsTest] Respone(33), status: 200, use time: 0, result: Request delay:1268, url: GET /R-53 HTTP/1.1
2014-10-09 11:04:46,933 [INFO] [test.com.cheyooh.tools.http.HttpUtilsTest] Respone(34), status: 200, use time: 0, result: Request delay:1284, url: GET /R-6 HTTP/1.1
2014-10-09 11:04:46,934 [INFO] [test.com.cheyooh.tools.http.HttpUtilsTest] Respone(35), status: 200, use time: 0, result: Request delay:1284, url: GET /R-40 HTTP/1.1
2014-10-09 11:04:46,949 [INFO] [test.com.cheyooh.tools.http.HttpUtilsTest] Respone(36), status: 200, use time: 0, result: Request delay:1300, url: GET /R-5 HTTP/1.1
2014-10-09 11:04:46,954 [INFO] [test.com.cheyooh.tools.http.HttpUtilsTest] Respone(37), status: 200, use time: 0, result: Request delay:1316, url: GET /R-28 HTTP/1.1
2014-10-09 11:04:46,963 [INFO] [test.com.cheyooh.tools.http.HttpUtilsTest] Respone(38), status: 200, use time: 0, result: Request delay:1316, url: GET /R-30 HTTP/1.1
2014-10-09 11:04:46,987 [INFO] [test.com.cheyooh.tools.http.HttpUtilsTest] Respone(39), status: 200, use time: 0, result: Request delay:1348, url: GET /R-58 HTTP/1.1
2014-10-09 11:04:47,002 [INFO] [test.com.cheyooh.tools.http.HttpUtilsTest] Respone(40), status: 200, use time: 0, result: Request delay:1364, url: GET /R-69 HTTP/1.1
2014-10-09 11:04:47,040 [INFO] [test.com.cheyooh.tools.http.HttpUtilsTest] Respone(41), status: 200, use time: 0, result: Request delay:1396, url: GET /R-66 HTTP/1.1
2014-10-09 11:04:47,043 [INFO] [test.com.cheyooh.tools.http.HttpUtilsTest] Respone(42), status: 200, use time: 0, result: Request delay:1396, url: GET /R-60 HTTP/1.1
2014-10-09 11:04:47,045 [INFO] [test.com.cheyooh.tools.http.HttpUtilsTest] Respone(43), status: 200, use time: 0, result: Request delay:1396, url: GET /R-79 HTTP/1.1
2014-10-09 11:04:47,051 [INFO] [test.com.cheyooh.tools.http.HttpUtilsTest] Respone(44), status: 200, use time: 0, result: Request delay:1412, url: GET /R-84 HTTP/1.1
2014-10-09 11:04:47,055 [INFO] [test.com.cheyooh.tools.http.HttpUtilsTest] Respone(45), status: 200, use time: 0, result: Request delay:1412, url: GET /R-91 HTTP/1.1
2014-10-09 11:04:47,066 [INFO] [test.com.cheyooh.tools.http.HttpUtilsTest] Respone(46), status: 200, use time: 0, result: Request delay:1428, url: GET /R-1 HTTP/1.1
2014-10-09 11:04:47,083 [INFO] [test.com.cheyooh.tools.http.HttpUtilsTest] Respone(47), status: 200, use time: 0, result: Request delay:1444, url: GET /R-33 HTTP/1.1
2014-10-09 11:04:47,102 [INFO] [test.com.cheyooh.tools.http.HttpUtilsTest] Respone(48), status: 200, use time: 0, result: Request delay:1460, url: GET /R-86 HTTP/1.1
